#repeat : 55
0.5 7.71441e-09
1.5 2.82863e-08
2.5 6.77159e-08
3.5 1.5229e-07
4.5 3.3839e-07
5.5 7.50084e-07
6.5 1.66183e-06
7.5 3.68148e-06
8.5 8.15543e-06
9.5 1.80663e-05
10.5 4.00215e-05
11.5 8.86576e-05
12.5 0.000196399
13.5 0.000435073
14.5 0.000963795
15.5 0.00213505
16.5 0.00472966
17.5 0.0104774
18.5 0.02321
19.5 0.0514161
20.5 0.113899
21.5 0.252316
22.5 0.558943
23.5 1.2382
24.5 2.74292
25.5 2.74292
26.5 1.2382
27.5 0.558943
28.5 0.252316
29.5 0.113899
30.5 0.0514161
31.5 0.02321
32.5 0.0104774
33.5 0.00472966
34.5 0.00213505
35.5 0.000963795
36.5 0.000435073
37.5 0.000196399
38.5 8.86576e-05
39.5 4.00215e-05
40.5 1.80663e-05
41.5 8.15543e-06
42.5 3.68148e-06
43.5 1.66184e-06
44.5 7.50085e-07
45.5 3.3839e-07
46.5 1.5229e-07
47.5 6.77162e-08
48.5 2.82865e-08
49.5 7.7145e-09
