#repeat : 125
0.5 2.7735
1.5 5.91166
2.5 7.68705
3.5 8.69146
4.5 9.25968
5.5 9.58113
6.5 9.76296
7.5 9.86577
8.5 9.92384
9.5 9.95652
10.5 9.9747
11.5 9.98445
12.5 9.98903
13.5 9.98994
14.5 9.9875
15.5 9.9809
16.5 9.96793
17.5 9.94426
18.5 9.90203
19.5 9.82713
20.5 9.69462
21.5 9.46033
22.5 9.04617
23.5 8.31409
24.5 7.02007
25.5 5.76209
26.5 5.58422
27.5 5.44536
28.5 5.33623
29.5 5.24957
30.5 5.1796
31.5 5.12165
32.5 5.07186
33.5 5.02691
34.5 4.9838
35.5 4.93965
36.5 4.89151
37.5 4.83618
38.5 4.76996
39.5 4.68843
40.5 4.58616
41.5 4.45633
42.5 4.29027
43.5 4.07692
44.5 3.80204
45.5 3.44731
46.5 2.98908
47.5 2.39679
48.5 1.63096
49.5 0.640531
