10 0.000688483 0.000154677
15 0.000694827 0.000133093
20 0.000698279 0.000133727
25 0.00069778 9.82194e-05
30 0.000691611 9.34753e-05
35 0.000699783 9.13258e-05
40 0.000691667 7.74005e-05
50 0.000702455 6.99126e-05
60 0.000704622 7.2534e-05
80 0.000702353 5.82104e-05
100 0.000700375 5.30343e-05
150 0.00070309 4.49539e-05
200 0.000709708 3.45795e-05
250 0.000703513 3.0332e-05
300 0.000710006 2.87501e-05
350 0.000706985 2.66367e-05
400 0.000705506 2.63073e-05
500 0.000704854 2.28319e-05
600 0.000706465 2.08969e-05
800 0.000708332 1.76457e-05
1000 0.000705518 1.6428e-05
1500 0.00070728 1.31886e-05
2000 0.000706703 1.05482e-05
2500 0.00070706 8.77985e-06
3000 0.000707401 8.92464e-06
3500 0.000707102 8.47056e-06
4000 0.000706989 7.41489e-06
5000 0.000707015 6.89315e-06
6000 0.000706778 6.34948e-06
8000 0.000706069 4.97898e-06
10000 0.000706665 4.86299e-06
